COMPANY,FILM,RELEASE,ADJUSTED,Assignment,WORLDWIDE,DOMESTIC,FOREIGN,rotten_tomato,Budget,Studio
DC,Superman,1978 ,1097039000 ,Skylar,300218018,134218018,166000000,93 ,55000000 ,WB
DC,Superman II,1981 ,312806365 ,Gaurav,108185706,108185706,,89 ,54000000 ,WB
DC,Swamp Thing,1982 ,,Peimin,,,,64 ,3000000 ,Emb
DC,Superman III,1983 ,143405983 ,Skylar,59950623,59950623,,26 ,39000000 ,WB
DC,Supergirl,1984 ,32782737 ,Gaurav,14296438,14296438,,7 ,35000000 ,TriStar
Marvel,Howard the Duck,1986 ,82524005 ,Peimin,37962774,16295774,21667000,14 ,35000000 ,Uni.
DC,Superman IV: The Quest for Peace,1987 ,32887350 ,Skylar,15681020,,,12 ,17000000 ,WB
DC,The Return of Swamp Thing,1989 ,370471 ,Gaurav,192816,192816,,33 ,3000000 ,Millimeter
Marvel,The Punisher,1989 ,1024880 ,Peimin,533411,,533411,28 ,9000000 ,NWP
DC,Batman,1989 ,790353880 ,Skylar,411348924,251188924,160160000,72 ,35000000 ,WB
Marvel,Captain America,1990 ,18544 ,Gaurav,10173,,10173,9 ,10000000 ,21st
DC,Batman Returns,1992 ,453103534 ,Peimin,266822354,162831698,103990656,80 ,80000000 ,WB
DC,Batman: Mask of the Phantasm,1993 ,9261892 ,Skylar,5617391,5617391,,81 ,6000000 ,WB
DC,Batman Forever,1995 ,526102812 ,Gaurav,336529144,184031112,152498032,41 ,100000000 ,WB
DC,Steel,1997 ,2539807 ,Peimin,1710972,1710972,,12 ,16000000 ,WB
DC,Batman & Robin,1997 ,353600292 ,Skylar,238207122,107325195,130881927,11 ,125000000 ,WB
Marvel,Blade,1998 ,191745252 ,Gaurav,131183530,70087718,61095812,54 ,45000000 ,New Line
Marvel,X-Men,2000 ,410005182 ,Peimin,296339527,157299717,139039810,81 ,75000000 ,Fox
Marvel,Blade II,2002 ,205287049 ,Skylar,155010032,82348319,72661713,57 ,54000000 ,NL
Marvel,Spider-Man,2002 ,1088227139 ,Gaurav,821708551,403706375,418002176,89 ,139000000 ,Colombia
Marvel,Daredevil,2003 ,232008521 ,Peimin,179179718,102543518,76636200,44 ,78000000 ,Fox
DC,League of Extraordinary Gentlemen,2003 ,232119211 ,Skylar,179265204,66465204,112800000,17 ,78000000 ,Fox
Marvel,Hulk,2003 ,317701817 ,Gaurav,245360480,132177234,113183246,61 ,120000000 ,Uni.
Marvel,X2: X-Men United,2003 ,527919981 ,Peimin,407711549,214949694,192761855,86 ,110000000 ,Fox
Marvel,The Punisher,2004 ,68990471 ,Skylar,54700105,33810189,20889916,29 ,33000000 ,Lions
DC,Catwoman,2004 ,103551571 ,Gaurav,82102379,40202379,41900000,9 ,100000000 ,WB
Marvel,Blade: Trinity,2004 ,162581808 ,Peimin,128905366,52411906,76493460,25 ,65000000 ,NL
Marvel,Spider-Man 2,2004 ,988524779 ,Skylar,783766341,373585825,410180516,93 ,200000000 ,Sony
Marvel,Elektra,2005 ,69146867 ,Gaurav,56681566,24409722,32271844,10 ,43000000 ,Fox
DC,V for Vendetta,2005 ,161652607 ,Peimin,132511035,70511035,62000000,73 ,54000000 ,WB
DC,Constantine,2005 ,281660453 ,Skylar,230884728,75976178,154908550,46 ,100000000 ,WB
Marvel,Fantastic Four,2005 ,403280174 ,Gaurav,330579719,154696080,175883639,9 ,120000000 ,Fox
DC,Batman Begins,2005 ,456516123 ,Peimin,374218673,206852432,167366241,85 ,150000000 ,WB
DC,Superman Returns,2006 ,462178046 ,Skylar,391081192,200081192,191000000,76 ,270000000 ,WB
Marvel,X-Men: The Last Stand,2006 ,542869117 ,Gaurav,459359555,234362462,224997093,58 ,168000000 ,Fox
Marvel,Ghost Rider,2007 ,262835905 ,Peimin,228738393,115802596,112935797,26 ,110000000 ,Sony
Marvel,Fantastic Four: Rise of the Silver Surfer,2007 ,332135455 ,Skylar,289047763,131921738,157126025,37 ,130000000 ,Fox
Marvel,Spider-Man 3,2007 ,1023671832 ,Gaurav,890871626,336530303,554341323,63 ,250000000 ,Colomnia
Marvel,Punisher: War Zone,2008 ,11176498 ,Peimin,10100036,8050977,2049059,27 ,35000000 ,LGF
DC,The Spirit,2008 ,43191298 ,Skylar,39031337,19806188,19225149,14 ,60000000 ,LGF
Marvel,The Incredible Hulk,2008 ,291503667 ,Gaurav,263427551,134806913,128620638,67 ,150000000 ,Uni.
Marvel,Iron Man,2008 ,647542108 ,Peimin,585174222,318412101,266762121,94 ,140000000 ,Par.
DC,The Dark Knight,2008 ,1111624312 ,Skylar,1004558444,534858444,469700000,94 ,185000000 ,WB
DC,Watchmen,2009 ,205735853 ,Gaurav,185258983,107509799,77749184,65 ,120000000 ,WB
Marvel,X-Men Origins: Wolverine,2009 ,414297894 ,Peimin,373062864,179883157,193179707,38 ,150000000 ,Fox
DC,Jonah Hex,2010 ,11913114 ,Skylar,10903312,10547117,356195,12 ,47000000 ,WB
DC,The Losers,2010 ,32100704 ,Gaurav,29379723,23591432,5788291,49 ,40000000 ,WB
Marvel,Kick-Ass,2010 ,105097366 ,Peimin,96188903,48071303,48117600,76 ,30000000 ,LGF
Marvel,Iron Man 2,2010 ,681718448 ,Skylar,623933331,312433331,311500000,72 ,200000000 ,Par.
DC,Green Lantern,2011 ,232861094 ,Gaurav,219851172,116601172,103250000,26 ,200000000 ,WB
Marvel,X-Men: First Class,2011 ,374550200 ,Peimin,353624124,146408305,207215819,87 ,160000000 ,Fox
Marvel,Captain America: The First Avenger,2011 ,392498627 ,Skylar,370569774,176654505,193915269,79 ,140000000 ,Par.
Marvel,Thor,2011 ,475915989 ,Gaurav,449326618,181030624,268295994,77 ,150000000 ,WB
Marvel,Ghost Rider: Spirit of Vengeance,2012 ,137561767 ,Peimin,132563930,51774002,80789928,17 ,57000000 ,Sony
Marvel,The Amazing Spider-Man,2012 ,786505660 ,Skylar,757930663,262030663,495900000,73 ,230000000 ,Sony
DC,The Dark Knight Rises,2012 ,1125323899 ,Gaurav,1084439099,448139099,636300000,87 ,250000000 ,Fox
Marvel,Avengers,2012 ,1575847963 ,Peimin,1518594910,623357910,895237000,92 ,220000000 ,BV
Marvel,Kick-Ass 2,2013 ,62177326 ,Skylar,60795985,28795985,32000000,31 ,28000000 ,Uni.
Marvel,The Wolverine,2013 ,424253530 ,Gaurav,414828246,132556852,282271394,70 ,120000000 ,BV
Marvel,Thor: The Dark World,2013 ,659433213 ,Peimin,644783140,206362140,438421000,66 ,170000000 ,BV
DC,Man of Steel,2013 ,683224134 ,Skylar,668045518,291045518,377000000,55 ,225000000 ,WB
Marvel,Iron Man 3,2013 ,1243055923 ,Gaurav,1215439994,409013994,806426000,79 ,200000000 ,BV
Marvel,Guardians of the Galaxy,2014 ,418681000 ,Peimin,418681000,222281000,196400000,91 ,170000000 ,BV
Marvel,The Amazing Spider-Man 2,2014 ,708219235 ,Skylar,708219235,202778224,505441011,53 ,255000000 ,Sony
Marvel,Captain America: The Winter Soldier,2014 ,714025900 ,Gaurav,714025900,259708900,454317000,89 ,170000000 ,BV
Marvel,X-Men: Days of Future Past,2014 ,744047433 ,Peimin,744047433,232485000,511562433,91 ,200000000 ,Fox
Marvel,Avengers: Age of Ultron,2015 ,1405413868 ,Skylar,1405413868,459005868,946408000,75 ,250000000 ,BV
Marvel,Ant-Man,2015 ,519250779 ,Gaurav,519250779,?180202163,339048616,80 ,130000000 ,BV
Marvel,Fantastic Four,2015 ,167977596 ,Peimin,167977596,56117548,111860048,9 ,120000000 ,Fox
Marvel,Deadpool,2016 ,758691328 ,Skylar,758691328,360173154,398518174,83 ,58000000 ,Fox
